Pattern,Detected Text,Start Index
"[»]?Mein[e]? [lL]iebe[rsn]?\s[A-Za-z]*[.!,]?","Mein lieber Schrenk, überlegen Sie die Sache und teilen Sie uns morgen Ihren Entschluß mit.« Herr Pladl hatte zu lachen ",5834813
"[»]?Mein[e]? [lL]iebe[rsn]?\s[A-Za-z]*[.!,]?","»Mein lieber Bruder, jetzt muß ich dir aber doch sagen: du tust dich irren! Wenn ich kein Weib haben dürft, wie hätt es ",6420783
"[»]?Mein[e]? [lL]iebe[rsn]?\s[A-Za-z]*[.!,]?","»Mein liebes Haus, schier muß ich fürchten, ich seh dich nimmer.« Als sie den Schapbacher Forst erreichten, zündete Wi",6597885
"[»]?Mein[e]? [lL]iebe[rsn]?\s[A-Za-z]*[.!,]?","Meine Liebe zu Ihnen ist etwas ganz Selbstverständliches. Aber heiraten können wir uns nicht.« »Warum denn nicht, ",7185837
"[»]?Hochverehrte[rsn]?\s[A-Za-z]*[.!,]?",»Hochverehrter Herr Bording! Meinen Bericht d.d. . . d.J. aus Suez schätze ich in Ihren Händen. Meinen Orders gemäß lie,1341673
"[»]?Hochverehrte[rsn]?\s[A-Za-z]*[.!,]?","»Hochverehrter Herr! Der ergebenst Unterzeichnete gibt sich die Ehre, Sie zu einer Besprechung einzuladen, betreffend ei",1353269
"[»]?Hochverehrte[rsn]?\s[A-Za-z]*[.!,]?","»Hochverehrter Herr Senator! Der ergebenst Unterzeichnete gibt sich die Ehre, Sie zu einer Besprechung einzuladen, betr",1417247
"[»]?Hochverehrte[rsn]?\s[A-Za-z]*[.!,]?","»Hochverehrter Herr Senator! Bewegten Herzens danke ich Ihnen für die Ehre, welche Sie willens sind, meinem Hause zu er",1547539
"[»]?Hochverehrte[rsn]?\s[A-Za-z]*[.!,]?","Hochverehrte Festversammlung! Nil admirari sagt jener berühmte Horatius, welchem wir auch das andere Wort verdanken, es ist schön",2520217
"[»]?Hochverehrte[rsn]?\s[A-Za-z]*[.!,]?","Hochverehrte Festversammlung! Ist es doch wahr, dieses Wort des lateinischen Dichters! Denn wohin wir auch blicken, immer wieder ",2520438
"[»]?Hochverehrte[rsn]?\s[A-Za-z]*[.!,]?",Hochverehrte Festversammlung! Nil admirari! Welch ein Unterschied zwischen heute und gestern! Der Totgeglaubte steht gesund und f,2521223
"[»]?Geehrte[rsn]?\s[A-Za-z]*[.!,]?","»Geehrter Herr! Ich zeige Ihnen, der Sie immer so teilnehmend gegen uns gewesen sind, im eigenen und im Namen meine",3406170
"[»]?Sehr verehrte[rs]?\s[A-Za-z]*[.!,]?","Sehr verehrter Herr! Ich bin unmöglich in der Lage, für alle verliebten Dummheiten meiner Frau aufzukommen, die dieselbe",4466941
"[»]?Grüß dich\s[A-Za-z]*[.!,]?","Grüß dich Gott, Lieserl!« Nach diesem Erkennen wurde nichts mehr gesprochen, man hörte nur mehr »Lieserl« und »Fran",5843920
"[»]?Grüß dich\s[A-Za-z]*[.!,]?","»Grüß dich Gott, Kindl!« sagte Schweiker und streckte zum Gruß die Hand. Die Hirtin zitterte und schaute. »Grüß dich",6009000
"[»]?Grüß dich\s[A-Za-z]*[.!,]?","»Grüß dich Gott, Kindl!« wiederholte Schweiker. Die Hirtin schwieg. »So gib mir den Gruß doch heim!« Keine Antwort. ",6009106
"»Liebe[sr]+\s[A-Z][a-z\s]*[A-Za-z.!,]*","»Lieber Gott … wer kann das alles auseinander halten?« sagte der alte General, und ein gewisser Familienstolz kla",675727
"»Liebe[sr]+\s[A-Z][a-z\s]*[A-Za-z.!,]*","»Lieber Bruder … verzeihe … aber du leugnest da etwas, was uns allen heilig sein sollte … Dies Geschlecht …« Der Pr",678126
"»Liebe[sr]+\s[A-Z][a-z\s]*[A-Za-z.!,]*","»Lieber Doktor, manchmal sind Sie merkwürdig naiv! Wissen Sie nicht, daß das letzte bemerkenswerte Ereignis bei uns",706535
"»Liebe[sr]+\s[A-Z][a-z\s]*[A-Za-z.!,]*","»Lieber Freund! Ich kann nicht fort, sie lassen mich nicht. Sie lassen mir mein Kind nicht. Ich hab' es versucht un",941074
"»Liebe[sr]+\s[A-Z][a-z\s]*[A-Za-z.!,]*",»Lieber Doktor!« sagte er. »Ob wir leben oder sterben … es is ein und dasselbe. Das begreifst du natürlich nicht. D,1072595
"»Liebe[sr]+\s[A-Z][a-z\s]*[A-Za-z.!,]*","»Lieber Schrötter, wir bekommen nun eine Hausfrau. Ich habe mich verlobt.« »Ach Gott,« brachte Schrötter heraus,",1590471
"»Liebe[sr]+\s[A-Z][a-z\s]*[A-Za-z.!,]*","»Liebes Kind,« sagte er nun voll Sorge, »dies kann ohne ärztlichen Rat nicht so weiter gehen …« »Was soll mir ein",1717636
"»Liebe[sr]+\s[A-Z][a-z\s]*[A-Za-z.!,]*","»Liebes Kind, alles kommt auf die wirtschaftlichen Verhältnisse an. Und die sind: Baumann ist finanziell nicht in",1782941
"»Liebe[sr]+\s[A-Z][a-z\s]*[A-Za-z.!,]*","»Lieber Freund! »Ich muß Ihnen mitteilen, daß vor drei Tagen mein geliebter Ätti sanft entschlafen ist. Vor einer S",2372193
"»Liebe[sr]+\s[A-Z][a-z\s]*[A-Za-z.!,]*","»Lieber Papa, das geht nicht so schnell.« Ihr Vater stand mit einer zornigen Gebärde auf. Er machte, leise und un",3609147
"»Liebe[sr]+\s[A-Z][a-z\s]*[A-Za-z.!,]*","»Lieber Freund, thu' mir den Gefallen und fange keinen Krakehl mit dem Professor an . . . . Das ist ein riesig bede",4423898
"»Liebe[sr]+\s[A-Z][a-z\s]*[A-Za-z.!,]*",»Liebes Mädchen – wann kommst du wieder beichten? Morgen?« Als aber der Priester plötzlich den Anflug von Bar,5388995
"»Liebe[sr]+\s[A-Z][a-z\s]*[A-Za-z.!,]*","»Lieber Mann! Bitte, spiel uns zum Tanz! Denn was ist eine Hochzeit ohne Tanz? Spielt nicht auch im Himmel Sankt ",5427061
"»Liebe[sr]+\s[A-Z][a-z\s]*[A-Za-z.!,]*","»Liebes Kind, wenn schon für einen Mann, der August doch immerhin ist, diese Aufgabe zu schwer ist, wie viel mehr",7034290
"»Liebe[sr]+\s[A-Z][a-z\s]*[A-Za-z.!,]*","»Liebes Fräulein, die Gesetze dieser Erde sind von fehlbaren Menschen gemacht –« »Von schachernden Parteien si",7043366
"»Liebe[sr]+\s[A-Z][a-z\s]*[A-Za-z.!,]*","»Liebes Kind, heutzutage ist alles möglich. Ich rate dir gut und väterlich, dein eigenes Leben zu leben und dich ",7107157
"»Liebe[sr]+\s[A-Z][a-z\s]*[A-Za-z.!,]*","»Lieber Gott, wenn du es in Gnaden so fügest, daß unser Sohn Richard und unser goldenes Irenchen ein glückliches ",7272765
"»Liebe[sr]+\s[A-Z][a-z\s]*[A-Za-z.!,]*","»Lieber Gott, was soll ich denn ablegen?« flüsterte Josephine, mit geängstigten Augen über die fingerdicken Teppi",7448509
"»Liebe[sr]+\s[A-Z][a-z\s]*[A-Za-z.!,]*","»Lieber Reimar, als Gast hast Du den Vorzug, Fräulein von Wetter den Arm zu bieten!« lächelte Günther zurücktretend",7453444
"»Liebste[sr]?\s[A-Za-z]*[A-Za-z.!,]*","»Liebstes Herz, was sind das für kindische Sorgen! Jetzt muß es Dir immer federleicht zu Mut sein, wie einer Lerche",3229790
"»Liebste[sr]?\s[A-Za-z]*[A-Za-z.!,]*","»Liebste Gräfin,« schrieb Tante Renate, »ich halte es für meine Pflicht, Sie über die Vermögensverhältnisse mei",7951927
"[»]?Lieber Vater[.!,]?","Lieber Vater, sage uns geschwind, was es nun wieder mit Robinson gibt. Es ist ja wirklich schrecklich, daß er uns",3187596
"[»]?Liebster Vater[.!,]?","Liebster Vater, Du hast mich letzthin einmal gefragt, warum ich behaupte, ich hätte Furcht vor Dir. Ich wußte Dir, ",3658584
"[»]?Lieber Freund[.!,]?","»Lieber Freund! Ich kann nicht fort, sie lassen mich nicht. Sie lassen mir mein Kind nicht. Ich hab' es versucht un",941074
"[»]?Lieber Freund[.!,]?","Lieber Freund, unterbrach ihn der andere, Ihr habt mir ein Geschenk gemacht köstlicher als alles, was in meinem Ve",2122147
"[»]?Lieber Freund[.!,]?","Lieber Freund, sagte er endlich, es würde schwer, ja unmöglich sein, dies auszumachen. Eine Sittenstatistik der ve",2202853
"[»]?Lieber Freund[.!,]?","»Lieber Freund! »Ich muß Ihnen mitteilen, daß vor drei Tagen mein geliebter Ätti sanft entschlafen ist. Vor einer S",2372193
"[»]?Lieber Freund[.!,]?","»Lieber Freund, thu' mir den Gefallen und fange keinen Krakehl mit dem Professor an . . . . Das ist ein riesig bede",4423898
"[»]?Lieber Freund[.!,]?","Lieber Freund: die Perle stammt von einer Muschel im Meer, die sterben muß, wenn die Perle vollendet ist. Unsere ",7182401
"[»]?Geliebteste[r]?[.!,]?","»Geliebtester! Wie hasse ich den Frühling. Es ist eine unerträgliche Jahreszeit. Ja, ich hasse sie. Weil es zwisch",1317179
"[»]?Geliebte[r]?[.!,]?",Geliebter! * * * Ich schlafe. Da höre ich ein Lied durch die Nacht. Ich springe auf – wo ist ein Mantel? – und,204441
"[»]?Geliebte[r]?[.!,]?","Geliebter, wo bist du? Wie aus einer andern Welt höre ich dich rufen: „Ewig, ewig!“"" ""Mutter und Tochter Zwisc",222490
"[»]?Geliebte[r]?[.!,]?",Geliebten ausstreckte. Wehe! In diesem Augenblick glitt ihr der Wunderring vom Finger. * * * Zornig grollend,1145626
"[»]?Geliebte[r]?[.!,]?","Geliebten an Montalme vorüber führe, da vernahm man plötzlich ein leichtes Zusammenschauern, wie das eines d",1156810
"[»]?Geliebte[r]?[.!,]?","Geliebten im Garten. Ein wonniger Duft schwebte aus den Lindenkronen nieder, und laue grünliche Schatten däm",1161671
"[»]?Geliebte[r]?[.!,]?","»Geliebtester! Wie hasse ich den Frühling. Es ist eine unerträgliche Jahreszeit. Ja, ich hasse sie. Weil es z",1317179
"[»]?Geliebte[r]?[.!,]?","Geliebter, Du! Sie sagen auch, Du seiest der andere Kandidat! Aber nicht wahr, das tust Du mir nicht an!! Dein",1319191
"[»]?Geliebte[r]?[.!,]?",»Geliebter Mann – ich sehne mich Dir entgegen … Du bist der Mann aller Männer für mich … Wenn ich meine Arme u,1320759
"[»]?Geliebte[r]?[.!,]?",Geliebte zwiefach empfindet – anders in ihrer Gegenwart als in der Trennung von ihr – wo der persönliche Zau,1362453
"[»]?Geliebte[r]?[.!,]?","Geliebten ganz wichtig, als sei es ein Erfolg, auf den man Wert zu legen habe. An diesem Tage nun, als die B",1604215
"[»]?Geliebte[r]?[.!,]?",Geliebte sei – nicht seine Leidenschaft erwecke … Sie wehrte sich dagegen … »Er liebt mich – er liebt mich!«,1696524
"[»]?Geliebte[r]?[.!,]?","Geliebte von gestern und die Frau von heute sich zu begegnen hatten … Aber am Tisch ihrer Eltern? … Nein, un",1715717
"[»]?Geliebte[r]?[.!,]?",Geliebten sich nachdrücklich habe unter die Augen bringen wollen… Hoffte sie vielleicht … auf was? Auf seine,1731721
"[»]?Geliebte[r]?[.!,]?","Geliebten mein. Der junge Maler, von ihrer Stimme entzückt, mehr noch von dem reizenden Umriß der ruhig hins",2023968
"[»]?Geliebte[r]?[.!,]?",Geliebten geboren hatte. Dieser quälende Zwiespalt wurde ihm auf die Länge unerträglich. Er stürmte aus sein,2221579
"[»]?Geliebte[r]?[.!,]?","Geliebter, seit der Stunde habe ich jedes Wort, das du mir gesagt, unvergänglich in mir aufbewahrt und immer d",2264728
"[»]?Geliebte[r]?[.!,]?","Geliebte einer anderen gewesen ist, alle Welt weiß ja, daß er mit Frau Maria Harlander gelebt hat wie Mann u",2298224
"[»]?Geliebte[r]?[.!,]?","Geliebten. Er fand aber Frau Agnes schon ausgegangen, nach dem Städtchen hinunter in häuslichen Geschäften, ",2302816
"[»]?Geliebte[r]?[.!,]?","Geliebte in den Tod gegangen, um ihm zu entrinnen, der ihr zum Abscheu geworden sei. In tödlicher Angst bega",2337136
"[»]?Geliebte[r]?[.!,]?",Geliebten!« – er sprach es ganz leise für sich hin – »Wie einsam bin ich doch! König von Asgardh heiß' ich u,2414420
"[»]?Geliebte[r]?[.!,]?","Geliebte, die, willenlos, wie, von der Schlange Blick gebannt, das Vögelein …« – Laut, höhnisch lachte da Odh",2425700
"[»]?Geliebte[r]?[.!,]?","Geliebte, so folge mir: – sogleich. Dies Schiff – es segelt rasch. Bald trägt es dich in mein Reich. Komm!« U",2452517
"[»]?Geliebte[r]?[.!,]?","Geliebten, der ihr den Vater erschlagen und erschlug den Bruder dazu. Glaubst du, Hilde hat jemals bereut?« ",2462641
"[»]?Geliebte[r]?[.!,]?",Geliebten und sagte: »Es ist spät – ich muß fort.« Sie biß die Zähne übereinander und maß ihn mit verachtung,3312777
"[»]?Geliebte[r]?[.!,]?","Geliebten nicht unerbittlich sein könne, wachsen. Er rief, er sei zwar noch sehr jung, bekleide noch keine h",3331273
"[»]?Geliebte[r]?[.!,]?","Geliebten ein letztes Lebewohl zuzuwinken, nun dachte er: Mag sie doch! – nachher ist ja ohnehin alles vorbe",3340682
"[»]?Geliebte[r]?[.!,]?",Geliebten wirst du vergessen. Auch in ihr waren die weichen und sanften Empfindungen nicht die vorherrschend,3342733
"[»]?Geliebte[r]?[.!,]?","Geliebten. »Ich hab ein trauriges Leben«, klagte sie. »Du warst niemals gut gegen mich, und die andern sind ",3343141
"[»]?Geliebte[r]?[.!,]?",Geliebten keine Antwort als ein schmerzliches »Leb wohl!«. Da sah er zum letztenmal zu ihr empor – angstvoll,3367588
"[»]?Geliebte[r]?[.!,]?",Geliebter!« Ungefähr um dieselbe Zeit sah Mansuet den guten Schimmelreiter mit ganz verstörtem Gesicht aus dem,3463715
"[»]?Geliebte[r]?[.!,]?",Geliebten?!« »Deiner Geliebten?!« wetterte der kleine Kommis und hatte ihn im selben Augenblicke am Kragen u,3481666
"[»]?Geliebte[r]?[.!,]?",Geliebten?!« wetterte der kleine Kommis und hatte ihn im selben Augenblicke am Kragen und zerrte ihn vom Ses,3481687
"[»]?Geliebte[r]?[.!,]?","Geliebte?! … Nimm das zurück, oder ich schlag dich tot, ich schlag dich tot!« Bernhard tobte wie ein Rasende",3481827
"[»]?Geliebte[r]?[.!,]?","Geliebte, meine Geliebte! sie war es!« Mansuet kannte sich nicht mehr. »Bestie!« kreischte er, riß ein Messer",3482141
"[»]?Geliebte[r]?[.!,]?","Geliebte! sie war es!« Mansuet kannte sich nicht mehr. »Bestie!« kreischte er, riß ein Messer vom Tische und ",3482157
"[»]?Geliebte[r]?[.!,]?",Geliebten.« Das Fräulein warf von der Seite einen raschen Blick nach ihrer Magd. Diese hatte die Hand auf di,3492340
"[»]?Geliebte[r]?[.!,]?","Geliebten – vertrauert. Sie dachte, wie sich am Ende doch alles habe ertragen lassen, weil er, wenn auch sel",3616476
"[»]?Geliebte[r]?[.!,]?","Geliebten überraschten Liebhabers durch. Vor allem traute er seinen Augen nicht, dann traute er ihnen und ge",3643786
"[»]?Geliebte[r]?[.!,]?","Geliebte weilt. Seine Reisegefährten beobachten alle ein, wie ihm scheint, ostensibles Schweigen. Nur von Ze",3648832
"[»]?Geliebte[r]?[.!,]?","Geliebten, mit Rede und Geste heldische Anstrengung. Ihre Flechten waren gelöst, Augen blitzten, Brust hob s",3852871
"[»]?Geliebte[r]?[.!,]?","Geliebten eindrucksvolle Seele geblasen und glaubte dennoch nicht, es fände dort ursprünglicher Gefühle Bege",3869626
"[»]?Geliebte[r]?[.!,]?","Geliebten auf neuem Posten sichergestellt, Ordensschmuck unter den Augen oberer Gewalten für ihn wahrscheinl",3872585
"[»]?Geliebte[r]?[.!,]?","Geliebte sie wollte: nicht kleinmütig verzagt, doch über der Sterblichen Los. Die selbstherrlichen, keuschen",3878571
"[»]?Geliebte[r]?[.!,]?","Geliebten dem allgemeinen Ideal nicht nur, doch eigenem, ursprünglichem Wunsch nach. Macht ihn zu ihres Gewi",3880073
"[»]?Geliebte[r]?[.!,]?",Geliebte des schönen Jünglings laut zu schluchzen . . . Zur Hinrichtung bin ich gegangen. Ich habe auch alle,4382533
"[»]?Geliebte[r]?[.!,]?","Geliebte und nicht die des Journalisten. Lockspitzel schien wenig eifersüchtig zu sein, sondern das kosende ",4413698
"[»]?Geliebte[r]?[.!,]?",Geliebten satt und zufrieden leben kann – das wissen wenige kurz und bündig zu beantworten. Das muß sich jed,4549000
"[»]?Geliebte[r]?[.!,]?","Geliebte der Österreicherin gewesen, habe die Dame aus Furcht vor dem Skandal verlassen, und sie selbst habe",4556861
"[»]?Geliebte[r]?[.!,]?",Geliebten und aus Angst vor der Schande den Tod gesucht. Der Mutterinstinkt hatte sie nicht am Leben erhalte,4556993
"[»]?Geliebte[r]?[.!,]?",Geliebten meines Herzens zu mir. bald war es die Österreicherin im Lodenmantel mit dem Graphitkarbon in der ,4674129
"[»]?Geliebte[r]?[.!,]?","Geliebten verlassen und voll Angst, Mutter eines vaterlosen Kindes zu werden, hatte sie zur Pistole gegriffe",4729730
"[»]?Geliebte[r]?[.!,]?","Geliebten ausruhte, still, kühl, müde. – Welch ein Doppelgesicht hatte dieses unbarmherzige Land für mich! I",4744423
"[»]?Geliebte[r]?[.!,]?","Geliebte könnte ja leicht auf Augenblicke unten ihren Wagen verlassen, einen Augenblick durch den Vorgarten ",4804329
"[»]?Geliebte[r]?[.!,]?","»Geliebter Karbonstift, rette mich vor den Schlangen! Geliebte Tote, die du mir den Stift schenktest, ich vers",4835589
"[»]?Geliebte[r]?[.!,]?","Geliebte Tote, die du mir den Stift schenktest, ich verspreche dir einen herrlichen Kranz auf dein Grab in P",4835643
"[»]?Geliebte[r]?[.!,]?",Geliebte bei Nacht hier empfangen hatte. Mit einigem Galgenhumor betrachtete ich den rötlichen Rubinring an ,4880929
"[»]?Geliebte[r]?[.!,]?","Geliebter selten von der Geliebten zu sehen bekommt, war mir wertvoller als die Erinnerung an den Mondscheina",4918029
"[»]?Geliebte[r]?[.!,]?","Geliebten zu sehen bekommt, war mir wertvoller als die Erinnerung an den Mondscheinabend in meinem Zimmer, w",4918054
"[»]?Geliebte[r]?[.!,]?","Geliebter, verachte mich nicht. ich bitte Dich jetzt: nimm mich fort von hier. Sobald ich meinen Vater hier be",4932410
"[»]?Geliebte[r]?[.!,]?","Geliebter! Übermorgen, wenn ich von Tlalpam zurückkomme, schreibe ich Dir wieder und sende Dir Nachricht durch",4934354
"[»]?Geliebte[r]?[.!,]?","Geliebte meines Herzens, und ich fand keinen Gott und keinen Gottesbegriff in der Kirche, der mir nach den S",5078458
"[»]?Geliebte[r]?[.!,]?",Geliebte tot und ermordet. und vor der Kirche auf den Gossen von Vera Cruz huschten die schwarzen riesigen A,5080282
"[»]?Geliebte[r]?[.!,]?",Geliebte dieser Dame sein und wolle nur unerkannt bleiben. Er ging dann rasch und murmelte: »Goddam!« Ich fü,5086413
"[»]?Geliebte[r]?[.!,]?","Geliebte in Europa, und ich sehnte mich, an das Grab dieser Toten nach Europa zu kommen. und sie glaubte sic",5102160
"[»]?Geliebte[r]?[.!,]?",Geliebte verloren hätte. Am nächsten Morgen gingen wir beide an Land und wanderten durch die weiten ländlich,5103340
"[»]?Geliebte[r]?[.!,]?",Geliebte vor ihr verleugnen wollte – so wie Petrus seinen Herrn nachts am Feuer verleugnet hatte. Und währen,5132703
"[»]?Geliebte[r]?[.!,]?",Geliebten!« Der Sturm sang und schrie Gelächter von draußen durch Fenster und Türen zu mir herein. Und ich s,5151822
"[»]?Geliebte[r]?[.!,]?","Geliebten im Totenreich drüben, der dich in das Grab holte. Wenn ich jetzt im Sturm sterbe, dann –« Ein ande",5159111
"[»]?Geliebte[r]?[.!,]?",Geliebten näher und konnte mich nicht von ihr entfernen. Entfernen von meiner Geliebten konnte mich nur die ,5161941
"[»]?Geliebte[r]?[.!,]?","Geliebten konnte mich nur die Zukunft, das kommende Leben. Aber die Morgengedanken, der Einfall im hohläugig",5162019
"[»]?Geliebte[r]?[.!,]?","Geliebte zu hören, ohne ihr antworten zu können. die Geliebte zu sehen, ohne sie umarmen zu können. die Geli",5212756
"[»]?Geliebte[r]?[.!,]?","Geliebte zu sehen, ohne sie umarmen zu können. die Geliebte verbrennen zu sehen, ohne ihr helfen zu können! ",5212809
"[»]?Geliebte[r]?[.!,]?","Geliebte verbrennen zu sehen, ohne ihr helfen zu können! – Täglich wieder ein totes Leben aufwachen zu sehen",5212860
"[»]?Geliebte[r]?[.!,]?","Geliebte in Mexiko geraubt, Raubmenschen haben mir eine geliebte Geisterwelt in Europa geraubt. Jene Raubmen",5213867
"[»]?Geliebte[r]?[.!,]?","Geliebte, ich vergleiche dich dem weißen Pferde an Pharaos Wagen. Über deine Wangen hängen Ketten, Perlen um ",5429861
"[»]?Geliebte[r]?[.!,]?","Geliebten keine ewige Treue, sondern er ließ sie wissen: er werde sie demnächst betrügen. Darob war sie heit",5439616
"[»]?Geliebte[r]?[.!,]?",Geliebten – zerbiß ihn gierig und schlang ihn langsam in den Rachen. Der Kurfürst erhob sich: gemartert. Die,5485696
"[»]?Geliebte[r]?[.!,]?","Geliebtes tötet noch in der Umarmung den Liebenden und fügt ihn in grauenvoller Mast zur eigenen Fülle, zum ",5486426
"[»]?Geliebte[r]?[.!,]?","»Geliebte!« »Hebe die blutbefleckten Hände nicht! Laß mich entflattern, beflecke meine weißen Flügel nicht! Bi",5508250
"[»]?Geliebte[r]?[.!,]?","Geliebten zu schauen hoffte, verspürte die Wirkung dieses Kranzes schon jetzt auf der Kuppe des Falkensteine",5765516
"[»]?Geliebte[r]?[.!,]?","Geliebte schreiben und absenden, und worin er sie um Rat fragen wollte, in wie weit man dem kleinen Finger d",5828910
"[»]?Geliebte[r]?[.!,]?","Geliebten gar nicht glauben konnte. Dann erschien es ihm gleich wieder wie eine Sünde, daß er so ruhig war …",5873086
"[»]?Geliebte[r]?[.!,]?","Geliebten. Ja, nun konnte er freilich unbehelligt dastehen. – wer kümmerte sich droben um ihn? Und er starrt",5874684
"[»]?Geliebte[r]?[.!,]?","Geliebten. – Und wie es seine Art war, mußte er auch das zu Ende denken. Und da sah er, wie der Gatte, der m",5878038
"[»]?Geliebte[r]?[.!,]?","Geliebter ist da, dein Geliebter ist da! – Aber sie war schon tot … …In schweren Träumen verging ihm die Nach",5878267
"[»]?Geliebte[r]?[.!,]?","Geliebter ist da! – Aber sie war schon tot … …In schweren Träumen verging ihm die Nacht, in dumpfer Müdigkeit",5878290
"[»]?Geliebte[r]?[.!,]?","Geliebten, vors Haus der sterbenden Geliebten … Und seine Zähne schlugen aufeinander. – Plötzlich fand er si",5882718
"[»]?Geliebte[r]?[.!,]?",Geliebten … Und seine Zähne schlugen aufeinander. – Plötzlich fand er sich in seinem Zimmer und konnte sich ,5882754
"[»]?Geliebte[r]?[.!,]?","Geliebte wird sterben … ja, sie wird, sie wird! Oder hoffe ich vielleicht noch und bin darum so ruhig? Nein,",5883165
"[»]?Geliebte[r]?[.!,]?","Geliebter, oder: Ich bin ihr Seladon. Ich bin ihr erschütterter Seladon … Herr im Himmel! schrie er plötzlich ",5883403
"[»]?Geliebte[r]?[.!,]?","Geliebten ähnlich. Es war gewiß ihre Schwester, von der sie ihm einigemal gesprochen. Eine ältere Dame kam d",5890878
"[»]?Geliebte[r]?[.!,]?","Geliebte davongejagt, weil er sie verleugnet."" ""Der Untergang Chlodwig Dohna, ein nervöser Mensch, der ununt",5897726
"[»]?Geliebte[r]?[.!,]?","Geliebten sie nicht zu geschweigen vermöchte! Der Trost, den Ruedlieb spendete, hatte so lange Dauer, daß de",6739604
"[»]?Geliebte[r]?[.!,]?",Geliebte an sich gerissen? Hatte Recka sich an seine Brust geworfen? Sie hingen aneinander wie in jener Stur,6751117
"[»]?Geliebte[r]?[.!,]?",Geliebte decken mit dem eigenen Leib. Sie schlug ihm die Fäuste gegen die Brust. Den einzigen Schutz erkenne,6752236
"[»]?Geliebte[r]?[.!,]?","Geliebte mit sich fortgerissen, des Weges nicht achtend, den er nahm. Nun stand er am Rande der steilen Fels",6756479
"[»]?Geliebte[r]?[.!,]?","Geliebten, dunkle Ahnungen haben ihn bedrängt, und beim Abschied, den er für ein paar Wochen genommen, ist i",6930736
"[»]?Geliebte[r]?[.!,]?","Geliebte, meine Braut! Begreifen Sie nun, Herr Jurist, warum mir daran liegt, diese Heirat zu verhindern? Hab",7175668
"[»]?Geliebte[r]?[.!,]?",Geliebte?« »Nein!« »Oder soll sie seine Geliebte werden?« »Nein! Er wird sie heiraten.« »Hei – hei…« Das Nat,7225353
"[»]?Geliebte[r]?[.!,]?","Geliebte werden?« »Nein! Er wird sie heiraten.« »Hei – hei…« Das Naturereignis wiederholte sich, diesmal in ",7225393
"[»]?Geliebte[r]?[.!,]?","Geliebten zu vereinigen. – Die Unsterblichen hatten Erbarmen, türmten unendliche Felsmassen empor und bauten",7423082
"[»]?Geliebte[r]?[.!,]?","Geliebten gebaut. – Der Himmel aber glühte auf wie lohendes Flammenmeer, warf den azurnen Mantel seiner Mach",7423379
"[»]?Geliebte[r]?[.!,]?","Geliebten!« Ange hatte sich erhoben, sie stand vor Josephine und legte die weiße Hand auf ihre Schulter. Wie",7708375
"[»]?Geliebte[r]?[.!,]?","Geliebten und beginnt die Blättchen der Blume abzurupfen. also will es der reizende, alte Aberglaube.« »Die ",7742702
"[»]?Werte[rs]?\s[A-Za-z]*[.!,]?",Werte erhalten und weiter entwickeln. Man könnte vielleicht das auch so ausdrücken: monarchische Völker lieben ihr,1647286
